UsageDate,ServiceName,CostUSD,Cost,Currency
2023-05-01,Automation,0.001,0.0817712500000002,INR
2023-05-01,Azure DNS,0.50034793,40.9140756710126,INR
2023-05-01,Bandwidth,127.7707188536,10447.9713940575,INR
2023-05-01,Storage,134.5045017768,10998.6012409162,INR
2023-05-01,Virtual Machines,13.987309323,1143.75976747837,INR
2023-05-01,Virtual Machines Licenses,23.733881824,1940.74918410077,INR
2023-05-01,Virtual Network,22.8286641447,1866.72840294231,INR
2023-06-01,Azure DNS,0.4842213677419366,39.98276361116131,INR
2023-06-01,Bandwidth,121.8232207426538,10059.095615746804,INR
2023-06-01,Logic Apps,0.0031706503814455,0.261804565308936,INR
2023-06-01,Network Watcher,0.01,0.825712499999999,INR
2023-06-01,Storage,142.0583346526,11729.934265183509,INR
2023-06-01,Virtual Machines,0.79302743,65.4812661793874,INR
2023-06-01,Virtual Machines Licenses,23.02560608,1901.2530760332,INR
2023-06-01,Virtual Network,22.920136741257817,1892.544340896581,INR
2023-07-01,Azure DNS,0.5003408000000017,41.05608977000002,INR
2023-07-01,Bandwidth,123.5551424918574,10138.4716610975,INR
2023-07-01,Logic Apps,0.0031706443464751,0.2601711851554517,INR
2023-07-01,Network Watcher,0.003,0.2461687499999999,INR
2023-07-01,Storage,146.1259669584,11990.54887623022,INR
2023-07-01,Virtual Machines,7.2471647456,594.675162156139,INR
2023-07-01,Virtual Machines Licenses,23.799472256,1952.8954453064,INR
2023-07-01,Virtual Network,23.67103900972752,1942.35669474195,INR
2023-08-01,Azure DNS,0.5003544000000012,40.99873932336,INR
2023-08-01,Bandwidth,125.4249040108548,10277.24137970699,INR
2023-08-01,Logic Apps,0.0030568449195024,0.250476038597074,INR
2023-08-01,Storage,148.6975068324,12184.18449134272,INR
2023-08-01,Virtual Machines,33.3304804744,2731.079571784039,INR
2023-08-01,Virtual Machines Licenses,23.797874144,1949.983528634866,INR
2023-08-01,Virtual Network,23.78540680534208,1948.961962385637,INR
2023-09-01,Azure DNS,0.4842325677419368,40.04905980580657,INR
2023-09-01,Bandwidth,132.4246424988288,10952.34558866875,INR
2023-09-01,Logic Apps,0.0031580234929916,0.2611882805172398,INR
2023-09-01,Storage,150.503613993,12447.58952480861,INR
2023-09-01,Virtual Machines,32.2477918784,2667.09393704292,INR
2023-09-01,Virtual Machines Licenses,23.024540704,1904.2734196002,INR
2023-09-01,Virtual Network,22.85474667769862,1890.23039241241,INR
2023-10-01,Azure DNS,0.500367200000001,41.64493659700002,INR
2023-10-01,Bandwidth,132.4120883727815,11020.49260015615,INR
2023-10-01,Logic Apps,0.0044715060061214,0.372157855506976,INR
2023-10-01,Storage,152.8199292624,12719.01168759795,INR
2023-10-01,Virtual Machines,33.2804406192,2769.889472185239,INR
2023-10-01,Virtual Machines Licenses,23.800537024,1980.888945836239,INR
2023-10-01,Virtual Network,23.78950750222434,1979.970972525743,INR
2023-11-01,Azure DNS,0.484220567741935,40.3095464373871,INR
2023-11-01,Bandwidth,129.0557467824593,10743.40696058932,INR
2023-11-01,Logic Apps,0.0035772123821376,0.2977895162665264,INR
2023-11-01,Storage,154.8166732378,12887.90748452223,INR
2023-11-01,Virtual Machines,42.8947282204,3570.825269117481,INR
2023-11-01,Virtual Machines Licenses,23.56893796,1962.025701652651,INR
2023-11-01,Virtual Network,24.78043151769313,2062.877997229761,INR
2023-12-01,Azure DNS,0.5003592,41.7018120749999,INR
2023-12-01,Bandwidth,129.8912013439461,10825.61981200949,INR
2023-12-01,Logic Apps,0.0044716039067505,0.372680238103237,INR
2023-12-01,Storage,124.6789842892,10391.21409685298,INR
2023-12-01,Virtual Machines,0.0,0.0,INR
2023-12-01,Virtual Machines Licenses,29.748136456,2479.321247754748,INR
2023-12-01,Virtual Network,27.48277721701192,2290.517713680331,INR
2024-01-01,Azure DNS,0.5003544,41.7051646829999,INR
2024-01-01,Bandwidth,127.99860473716,10668.84370309817,INR
2024-01-01,Logic Apps,0.0035772100352047,0.2981649279468601,INR
2024-01-01,Storage,126.6607453422,10557.33145020401,INR
2024-01-01,Virtual Machines,1.43e-06,0.0001191922875,INR
2024-01-01,Virtual Machines Licenses,29.752139896,2479.878050506457,INR
2024-01-01,Virtual Network,27.51109576344489,2293.084220752831,INR
2024-02-01,Azure DNS,0.468066735483871,38.9156534715484,INR
2024-02-01,Backup,0.23198674330329,19.2876678216647,INR
2024-02-01,Bandwidth,124.928586627245,10386.71885292242,INR
2024-02-01,Logic Apps,0.0035775731392501,0.297443902763683,INR
2024-02-01,Storage,129.7560567254,10788.08075122066,INR
2024-02-01,Virtual Machines,0.0,0.0,INR
2024-02-01,Virtual Machines Licenses,27.835204384,2314.25368649124,INR
2024-02-01,Virtual Network,25.7107369228173,2137.622806184181,INR
2024-03-01,Azure DNS,0.5004048,41.484808932,INR
2024-03-01,Backup,58.1272716953461,4818.89614172344,INR
2024-03-01,Bandwidth,139.4012581591493,11556.7128045389,INR
2024-03-01,Logic Apps,0.0046019643285868,0.381514347750674,INR
2024-03-01,Storage,147.3779938172,12218.00413243044,INR
2024-03-01,Virtual Machines,0.0,0.0,INR
2024-03-01,Virtual Machines Licenses,29.754136416,2466.69229422744,INR
2024-03-01,Virtual Network,27.5880090276431,2287.11491841419,INR
2024-04-01,Azure DNS,0.484137367741935,40.3244065309356,INR
2024-04-01,Backup,76.9166232807309,6406.4816988312,INR
2024-04-01,Bandwidth,135.7194594314034,11304.2434253659,INR
2024-04-01,Logic Apps,0.0037075741450786,0.308808485011282,INR
2024-04-01,Storage,152.335919842,12688.24918354001,INR
2024-04-01,Virtual Machines,22.32869262,1859.78471918558,INR
2024-04-01,Virtual Machines Licenses,27.54733868,2294.45227283055,INR
2024-04-01,Virtual Network,26.5994206959195,2215.49899903902,INR
